"","Nfu.Gene.ID","Nfu.Gene.symbol.nfu2015","Nfu.Gene.symbol.garhum"
"14938","Nfu_g_1_014939","BAHCC1","BAHCC1"
"14939","Nfu_g_1_014940","",""
"14940","Nfu_g_1_014941","",""
"14941","Nfu_g_1_014942","",""
"14942","Nfu_g_1_014943","CU570881.1","CU570881.1"
"14943","Nfu_g_1_014944","SLC2A15B","slc2a15a"
"14944","Nfu_g_1_014945","BRMS1LB","brms1lb"
"14945","Nfu_g_1_014946","","CD53"
"14946","Nfu_g_1_014947","KLHL42","klhdc5"
"14947","Nfu_g_1_014948","TSPAN8","tspan9b"
"14948","Nfu_g_1_014949","","cd63"
"14949","Nfu_g_1_014950","",""
"14950","Nfu_g_1_014951","","si:dkey-220o21.1"
"14951","Nfu_g_1_014952","GPR123 (1 OF 3)","gpr124"
"14952","Nfu_g_1_014953","","BX539340.1"
"14953","Nfu_g_1_014954","",""
"14954","Nfu_g_1_014955","",""
"14955","Nfu_g_1_014956","TMEM25",""
"14956","Nfu_g_1_014957","",""
"14957","Nfu_g_1_014958","TBKBP1","TBKBP1"
"14958","Nfu_g_1_014959","BX511263.1","BX511263.2"
"14959","Nfu_g_1_014960","ESRRB (1 OF 2)","esrrb"
"14960","Nfu_g_1_014961","FILIP1 (1 OF 2)","FILIP1 (1 of 2)"
"14961","Nfu_g_1_014962","GADD45BB","gadd45bb"
"14962","Nfu_g_1_014963","","zgc:162913"
"14963","Nfu_g_1_014964","TNIK (1 OF 2)","tnikb"
"14964","Nfu_g_1_014965","MARCKSL1A","marcksl1a"
"14965","Nfu_g_1_014966","THBS1 (2 OF 2)","thbs1b"
"14966","Nfu_g_1_014967","DNAJC17","dnajc17"
"14967","Nfu_g_1_014968","ZC2HC1C","ZC2HC1C"
"14968","Nfu_g_1_014969","VASH1","VASH1"
"14969","Nfu_g_1_014970","LBH","LBH"
"14970","Nfu_g_1_014971","SPRED1","spred1"
"14971","Nfu_g_1_014972","IMPG1 (2 OF 2)","IMPG1 (2 of 2)"
"14972","Nfu_g_1_014973","ATPBD4","ATPBD4"
"14973","Nfu_g_1_014974","","zgc:194887"
"14974","Nfu_g_1_014975","MANEA","manea"
"14975","Nfu_g_1_014976","SP3B","sp3b"
"14976","Nfu_g_1_014977","GPATCH2L","GPATCH2"
"14977","Nfu_g_1_014978","FNDC3BA","fndc3ba"
"14978","Nfu_g_1_014979","FCF1","FCF1"
"14979","Nfu_g_1_014980","ID2","id2a"
"14980","Nfu_g_1_014981","","rab15"
"14981","Nfu_g_1_014982","ATG9A","atg9a"
"14982","Nfu_g_1_014983","",""
"14983","Nfu_g_1_014984","ANGEL1","ANGEL1 (1 of 2)"
"14984","Nfu_g_1_014985","PRLH2R","prlh2r"
"14985","Nfu_g_1_014986","ANKK1","ankk1"
"14986","Nfu_g_1_014987","PCNT","si:ch211-245b3.1"
"14987","Nfu_g_1_014988","TMEM234","tmem234"
"14988","Nfu_g_1_014989","OLA.7242","zgc:162576"
"14989","Nfu_g_1_014990","","lrmp"
"14990","Nfu_g_1_014991","C17H15ORF52","C17H15orf52"
"14991","Nfu_g_1_014992","DCDC2B","dcdc2b"
"14992","Nfu_g_1_014993","UBR1","ubr2"
"14993","Nfu_g_1_014994","SSBP4 (2 OF 2)","ssbp4"
"14994","Nfu_g_1_014995","KCNK10B","kcnk10b"
"14995","Nfu_g_1_014996","SDSL","SDSL"
"14996","Nfu_g_1_014997","","lppr3a"
"14997","Nfu_g_1_014998","CLN8","cln8"
"14998","Nfu_g_1_014999","HDAC1 (2 OF 2)","hdac1"
"14999","Nfu_g_1_015000","BX571712.1","BX571712.1"
"15000","Nfu_g_1_015001","COLEC11","colec11"
"15001","Nfu_g_1_015002","PTBP1A","ptbp1a"
"15002","Nfu_g_1_015003","PROX2","prox2"
"15003","Nfu_g_1_015004","POP1","POP1"
"15004","Nfu_g_1_015005","USP40","usp40"
"15005","Nfu_g_1_015006","KIF15","kif15"
"15006","Nfu_g_1_015007","BX927234.1","KRBA2"
"15007","Nfu_g_1_015008","OLA.10034","si:ch73-122g19.1"
"15008","Nfu_g_1_015009","LUZP1","LUZP1"
"15009","Nfu_g_1_015010","FUT9A","FUT9 (1 of 16)"
"15010","Nfu_g_1_015011","IAH1","iah1"
"15011","Nfu_g_1_015012","CR361541.1","RALGAPA2"
"15012","Nfu_g_1_015013","ATPIF1B","ATPIF1 (2 of 2)"
"15013","Nfu_g_1_015014","ACVR1L","acvr1l"
"15014","Nfu_g_1_015015","MARCKSB","marcksb"
"15015","Nfu_g_1_015016","GCHFR","gchfr"
"15016","Nfu_g_1_015017","IL31RA (1 OF 2)","il6st"
"15017","Nfu_g_1_015018","CMPK2","cmpk2"
"15018","Nfu_g_1_015019","FMN1 (1 OF 2)","fmn1"
"15019","Nfu_g_1_015020","ZGC:86709","zgc:86709"
"15020","Nfu_g_1_015021","FYNA","fyna"
"15021","Nfu_g_1_015022","OLA.4512","zgc:158387"
"15022","Nfu_g_1_015023","BSDC1","bsdc1"
"15023","Nfu_g_1_015024","PLS1","pls1"
"15024","Nfu_g_1_015025","SYT14A","syt14a"
"15025","Nfu_g_1_015026","","arf6b"
"15026","Nfu_g_1_015027","OLA.10429","si:ch73-343l4.8"
"15027","Nfu_g_1_015028","TRNP1","stx11a"
"15028","Nfu_g_1_015029","ZFYVE19","zfyve19"
"15029","Nfu_g_1_015030","","si:rp71-40n14.1"
"15030","Nfu_g_1_015031","BDKRB1","bdkrb1"
"15031","Nfu_g_1_015032","METTL21D","mettl21d"
"15032","Nfu_g_1_015033","TMEM54 (1 OF 2)","TMEM54 (1 of 2)"
"15033","Nfu_g_1_015034","FOXA2","foxa2"
"15034","Nfu_g_1_015035","","si:dkey-193b15.6"
"15035","Nfu_g_1_015036","IFT43","CABZ01068106.1"
"15036","Nfu_g_1_015037","SLC25A29 (2 OF 2)","slc25a29"
"15037","Nfu_g_1_015038","SIX6B","six6b"
"15038","Nfu_g_1_015039","ID3","id3"
"15039","Nfu_g_1_015040","EIF2AK4","eif2ak4"
"15040","Nfu_g_1_015041","CD109","CD109"
"15041","Nfu_g_1_015042","PCCB","pccb"
"15042","Nfu_g_1_015043","RTN1","rtn1a"
"15043","Nfu_g_1_015044","FAM98B","fam98b"
"15044","Nfu_g_1_015045","CU638738.1","CU638738.1"
"15045","Nfu_g_1_015046","TMEM63C","TMEM63C"
"15046","Nfu_g_1_015047","ATG2B","ATG2A"
"15047","Nfu_g_1_015048","SLC7A14A","slc7a14a"
"15048","Nfu_g_1_015049","COQ6","coq6"
"15049","Nfu_g_1_015050","",""
"15050","Nfu_g_1_015051","BMF2","bmf2"
"15051","Nfu_g_1_015052","SYF2","syf2"
"15052","Nfu_g_1_015053","",""
"15053","Nfu_g_1_015054","SLC38A6","slc38a6"
"15054","Nfu_g_1_015055","CTSL.1","ctsl.1"
"15055","Nfu_g_1_015056","TONSL","TONSL"
"15056","Nfu_g_1_015057","LCK","lck"
"15057","Nfu_g_1_015058","FANCM","fancm"
"15058","Nfu_g_1_015059","","zgc:101744"
"15059","Nfu_g_1_015060","E2F2","E2F2"
"15060","Nfu_g_1_015061","GRHL3","grhl3"
"15061","Nfu_g_1_015062","PAK2 (3 OF 3)","pak2a"
"15062","Nfu_g_1_015063","SERPINA10 (1 OF 2)","serpina10a"
"15063","Nfu_g_1_015064","MEIS2","CABZ01090750.1"
"15064","Nfu_g_1_015065","CCDC28B","ccdc28b"
"15065","Nfu_g_1_015066","EVLA","evla"
"15066","Nfu_g_1_015067","","ANKRD34C"
"15067","Nfu_g_1_015068","AL844186.1","PTAFR"
"15068","Nfu_g_1_015069","GSTZ1","GSTZ1"
"15069","Nfu_g_1_015070","OTX2","otx2"
"15070","Nfu_g_1_015071","HLTF","hltf"
"15071","Nfu_g_1_015072","OLA1","ola1"
"15072","Nfu_g_1_015073","NEK9","nek8"
"15073","Nfu_g_1_015074","FAM181A","FAM181B"
"15074","Nfu_g_1_015075","GJD2 (1 OF 2)","cx35b"
"15075","Nfu_g_1_015076","TGFB3 (1 OF 2)","tgfb3"
"15076","Nfu_g_1_015077","LOC101158426","ccdc42b"
"15077","Nfu_g_1_015078","STAG1A","stag1a"
"15078","Nfu_g_1_015079","BX927234.1","KRBA2"
"15079","Nfu_g_1_015080","PPP1CB","ppp1cb"
"15080","Nfu_g_1_015081","ZNF503","znf503"
"15081","Nfu_g_1_015082","SHDA","shdb"
"15082","Nfu_g_1_015083","RYR3 (1 OF 2)","ryr3"
"15083","Nfu_g_1_015084","","CNST (2 of 2)"
"15084","Nfu_g_1_015085","GALE","gale"
"15085","Nfu_g_1_015086","INSM1B","insm1b"
"15086","Nfu_g_1_015087","VSX2","vsx2"
"15087","Nfu_g_1_015088","RPS6KL1","RPS6KL1"
"15088","Nfu_g_1_015089","AQR","aqr"
"15089","Nfu_g_1_015090","MUM1","si:dkey-13e3.1"
"15090","Nfu_g_1_015091","RD3L","RD3L"
"15091","Nfu_g_1_015092","GPR65","GPR65"
"15092","Nfu_g_1_015093","NPC2","npc2"
"15093","Nfu_g_1_015094","RGS6 (1 OF 2)","rgs6"
"15094","Nfu_g_1_015095","SYNCRIPL","syncrip"
"15095","Nfu_g_1_015096","GHSRB","ghsra"
"15096","Nfu_g_1_015097","","lppr3a"
"15097","Nfu_g_1_015098","",""
"15098","Nfu_g_1_015099","STXBP6","STXBP6 (1 of 2)"
"15099","Nfu_g_1_015100","INF2","INF2"
"15100","Nfu_g_1_015101","DYNC1H1","DYNC1H1"
"15101","Nfu_g_1_015102","","zgc:154055"
"15102","Nfu_g_1_015103","FHL5","FHL5"
"15103","Nfu_g_1_015104","MOCS3","mocs3"
"15104","Nfu_g_1_015105","PRIMA1","PRIMA1"
"15105","Nfu_g_1_015106","SYNDIG1L","syndig1l"
"15106","Nfu_g_1_015107","CABZ01085657.1","CABZ01085657.1"
"15107","Nfu_g_1_015108","PTX3B","ptx3b"
"15108","Nfu_g_1_015109","FERMT2","fermt2"
"15109","Nfu_g_1_015110","BX927349.2","BX927349.3"
"15110","Nfu_g_1_015111","LOC100534701","acin1a"
"15111","Nfu_g_1_015112","LDLRAP1B","ldlrap1b"
"15112","Nfu_g_1_015113","TMEM30AA","tmem30aa"
"15113","Nfu_g_1_015114","ENTPD5 (1 OF 2)","ENTPD5 (1 of 2)"
"15114","Nfu_g_1_015115","MTFR1L","fam54b"
"15115","Nfu_g_1_015116","RHD","rhd"
"15116","Nfu_g_1_015117","ITPK1 (1 OF 2)","ITPK1 (1 of 2)"
"15117","Nfu_g_1_015118","ZPCX","zpcx"
"15118","Nfu_g_1_015119","BX511263.1","ZDHHC22"
"15119","Nfu_g_1_015120","DDX24","DDX24"
"15120","Nfu_g_1_015121","TMEM57B","tmem57b"
"15121","Nfu_g_1_015122","ISYNA1",""
"15122","Nfu_g_1_015123","MYO6B","myo6b"
"15123","Nfu_g_1_015124","ASPG","aspg"
"15124","Nfu_g_1_015125","PTPN21","ptpn21"
"15125","Nfu_g_1_015126","C15ORF57","C17H15orf57"
"15126","Nfu_g_1_015127","SOX11A","sox11a"
"15127","Nfu_g_1_015128","CU972452.1","FAM167B"
"15128","Nfu_g_1_015129","SNX14","snx14"
"15129","Nfu_g_1_015130","C17H15ORF41","C17H15orf41"
"15130","Nfu_g_1_015131","","ppp2r5cb"
"15131","Nfu_g_1_015132","GNA11B","gna11b"
"15132","Nfu_g_1_015133","CABZ01078499.2","CABZ01078499.2"
"15133","Nfu_g_1_015134","CABZ01080274.1","UNC79"
"15134","Nfu_g_1_015135","SERTAD4","SERTAD4"
"15135","Nfu_g_1_015136","LIN52","lin52"
"15136","Nfu_g_1_015137","SIX4B","six4b"
"15137","Nfu_g_1_015138","",""
"15138","Nfu_g_1_015139","ATR","atr"
"15139","Nfu_g_1_015140","CRLF1A","crlf1a"
"15140","Nfu_g_1_015141","ELL (2 OF 2)","ell"
"15141","Nfu_g_1_015142","ARHGAP11A","arhgap11a"
"15142","Nfu_g_1_015143","CLDN11A","cldn11a"
"15143","Nfu_g_1_015144","","yy1a"
"15144","Nfu_g_1_015145","SPATA7","SPATA7"
"15145","Nfu_g_1_015146","CU693366.1","GREM1 (1 of 3)"
"15146","Nfu_g_1_015147","EBI3","ebi3"
"15147","Nfu_g_1_015148","CABZ01084273.1","CABZ01084273.1"
"15148","Nfu_g_1_015149","BMP4","bmp4"
"15149","Nfu_g_1_015150","SLITRK3 (2 OF 2)","SLITRK3 (2 of 2)"
"15150","Nfu_g_1_015151","CR626962.1","CR626962.1"
"15151","Nfu_g_1_015152","SNAP23","SNAP23 (1 of 2)"
"15152","Nfu_g_1_015153","C14ORF166B","C17H14orf166B"
"15153","Nfu_g_1_015154","CU459095.1","CU459095.1"
"15154","Nfu_g_1_015155","SLC35G2","slc35g2a"
"15155","Nfu_g_1_015156","TPP1","tpp1"
"15156","Nfu_g_1_015157","NIPAL3","nipal3"
"15157","Nfu_g_1_015158","YTH2","yth2"
"15158","Nfu_g_1_015159","TTC8","ttc8"
"15159","Nfu_g_1_015160","YPEL5","ypel5"
"15160","Nfu_g_1_015161","PGF","PGF (1 of 2)"
"15161","Nfu_g_1_015162","","ubr7"
"15162","Nfu_g_1_015163","RPAP1","rpap1"
"15163","Nfu_g_1_015164","C14ORF28","CZv9_NA429H14orf28"
"15164","Nfu_g_1_015165","FLVCR2 (1 OF 2)","flvcr2b"
"15165","Nfu_g_1_015166","GRHL1","grhl1"
"15166","Nfu_g_1_015167","","zgc:194839"
"15167","Nfu_g_1_015168","OLA.10034","si:dkey-181c13.1"
"15168","Nfu_g_1_015169","BDKRB2 (2 OF 3)","BDKRB2 (1 of 2)"
"15169","Nfu_g_1_015170","CHMP3","chmp3"
"15170","Nfu_g_1_015171","SI:CH211-214P16.3","PLB1"
"15171","Nfu_g_1_015172","C14ORF1","C17H14orf1"
"15172","Nfu_g_1_015173","PCNXL4","pcnxl4"
"15173","Nfu_g_1_015174","BTBD7","btbd7"
"15174","Nfu_g_1_015175","SIPA1L1 (2 OF 2)","sipa1l1"
"15175","Nfu_g_1_015176","RNF144AA","rnf144aa"
"15176","Nfu_g_1_015177","BDKRB2 (2 OF 3)","BDKRB2 (1 of 2)"
"15177","Nfu_g_1_015178","OTUB2","otub1a"
"15178","Nfu_g_1_015179","SCAF8","SCAF8"
"15179","Nfu_g_1_015180","CABZ01085626.1","WDR25"
"15180","Nfu_g_1_015181","PPP1R14D","ppp1r14bb"
"15181","Nfu_g_1_015182","PPP2R3A","ppp2r3a"
"15182","Nfu_g_1_015183","AP5M1","AP5M1"
"15183","Nfu_g_1_015184","FAM163A (2 OF 2)","FAM163A (1 of 2)"
"15184","Nfu_g_1_015185","RPUSD2","RPUSD2"
"15185","Nfu_g_1_015186","MBOAT2A","mboat2a"
"15186","Nfu_g_1_015187","KIAA0317",""
"15187","Nfu_g_1_015188","SUMO3B","sumo3b"
"15188","Nfu_g_1_015189","KIDINS220 (2 OF 2)","kidins220a"
"15189","Nfu_g_1_015190","CHRM5A","chrm5a"
"15190","Nfu_g_1_015191","COL10A1","col10a1"
"15191","Nfu_g_1_015192","AKT1","AKT3 (1 of 2)"
"15192","Nfu_g_1_015193","ANKRD63","ankrd34bb"
"15193","Nfu_g_1_015194","ADSSL1","adssl1"
"15194","Nfu_g_1_015195","BX682557.1","BX682557.1"
"15195","Nfu_g_1_015196","PRKD3","PRKD3"
"15196","Nfu_g_1_015197","ODF3L2 (1 OF 2)","ODF3L2 (1 of 2)"
"15197","Nfu_g_1_015198","SLC10A1","slc10a1"
"15198","Nfu_g_1_015199","TTLL5","TTLL5"
"15199","Nfu_g_1_015200","",""
"15200","Nfu_g_1_015201","HTR1BD","htr1bd"
"15201","Nfu_g_1_015202","PLCB2","plcb3"
"15202","Nfu_g_1_015203","KLHL28","KLHL28"
"15203","Nfu_g_1_015204","ADAM17A","adam17a"
"15204","Nfu_g_1_015205","SIX1","six1b"
"15205","Nfu_g_1_015206","MIS18BP1","MIS18BP1"
"15206","Nfu_g_1_015207","KIF26A","KIF26A (1 of 2)"
"15207","Nfu_g_1_015208","TMED8","TMED8"
"15208","Nfu_g_1_015209","",""
"15209","Nfu_g_1_015210","","hm:zeh0619"
"15210","Nfu_g_1_015211","BDKRB2 (1 OF 3)","BDKRB2 (1 of 2)"
"15211","Nfu_g_1_015212","LRR1","LRRC69"
"15212","Nfu_g_1_015213","DIO3A","dio3a"
"15213","Nfu_g_1_015214","PPIE","ppie"
"15214","Nfu_g_1_015215","RCAN3","rcan3"
"15215","Nfu_g_1_015216","ZMPSTE24","zmpste24"
"15216","Nfu_g_1_015217","","CABZ01063203.1"
"15217","Nfu_g_1_015218","EML1","eml1"
"15218","Nfu_g_1_015219","BX649281.3","BX649281.2"
"15219","Nfu_g_1_015220","FABP7A","fabp7a"
"15220","Nfu_g_1_015221","PAK6 (1 OF 2)","PAK6 (1 of 2)"
"15221","Nfu_g_1_015222","ASAP3","asap3"
"15222","Nfu_g_1_015223","GNMT","gnmt"
"15223","Nfu_g_1_015224","DPF3 (2 OF 2)","dpf3"
"15224","Nfu_g_1_015225","KTN1","ktn1"
"15225","Nfu_g_1_015226","ISCA2","ISCA2"
"15226","Nfu_g_1_015227","","zgc:165525"
"15227","Nfu_g_1_015228","DCDC2C","dcdc2b"
"15228","Nfu_g_1_015229","ASB2B","asb2a"
"15229","Nfu_g_1_015230","GSKIP","C17H14orf129"
"15230","Nfu_g_1_015231","SPINT1A","spint1a"
"15231","Nfu_g_1_015232","BX682557.1","BX682557.1"
"15232","Nfu_g_1_015233","RASGRP1","rasgrp4"
"15233","Nfu_g_1_015234","REEP1","REEP1"
"15234","Nfu_g_1_015235","",""
"15235","Nfu_g_1_015236","GABRR1 (1 OF 2)","GABRR1 (1 of 2)"
"15236","Nfu_g_1_015237","CABZ01090073.1","acyp1"
"15237","Nfu_g_1_015238","GBX","xgb"
"15238","Nfu_g_1_015239","TACC3","tacc3"
"15239","Nfu_g_1_015240","DPF3 (2 OF 2)","dpf3"
"15240","Nfu_g_1_015241","CABZ01060331.1","si:ch73-212j7.1"
"15241","Nfu_g_1_015242","ARID1B","arid1b"
"15242","Nfu_g_1_015243","RPS6KA1","rps6ka1"
"15243","Nfu_g_1_015244","ERICH1","ERICH1"
"15244","Nfu_g_1_015245","NEMF","trdn"
"15245","Nfu_g_1_015246","KLHDC2","zgc:162310"
"15246","Nfu_g_1_015247","DIRAS1B","diras1b"
"15247","Nfu_g_1_015248","DNAAF2","dnaaf2"
"15248","Nfu_g_1_015249","LCLAT1","agpat4"
"15249","Nfu_g_1_015250","PPM1A","ppm1aa"
"15250","Nfu_g_1_015251","EXOC5","exoc5"
"15251","Nfu_g_1_015252","PPAP2C (1 OF 2)","PPAP2C (1 of 2)"
"15252","Nfu_g_1_015253","CRIM1","crim1"
"15253","Nfu_g_1_015254","TDRD9","tdrd9"
"15254","Nfu_g_1_015255","YWHAQ","ywhaqb"
"15255","Nfu_g_1_015256","QPCT","QPCT"
"15256","Nfu_g_1_015257","HIF1AA","hif1ab"
"15257","Nfu_g_1_015258","","ppp1r13ba"
"15258","Nfu_g_1_015259","FAM179B","FAM179B"
"15259","Nfu_g_1_015260","EXD1","EXD1"
"15260","Nfu_g_1_015261","TECRA","CABZ01074944.1"
"15261","Nfu_g_1_015262","OLIG4","olig4"
"15262","Nfu_g_1_015263","PDCD10B","pdcd10b"
"15263","Nfu_g_1_015264","D2HGDH","d2hgdh"
"15264","Nfu_g_1_015265","CCDC176","C8H14orf45 (2 of 2)"
"15265","Nfu_g_1_015266","",""
"15266","Nfu_g_1_015267","NKX2-4","zgc:171531"
"15267","Nfu_g_1_015268","PLK4","plk4"
"15268","Nfu_g_1_015269","CU306817.2","CR385063.1"
"15269","Nfu_g_1_015270","ZNF292A","znf292a"
"15270","Nfu_g_1_015271","CU694315.1","JDP2 (1 of 2)"
"15271","Nfu_g_1_015272","TMEM39B","tmem39b"
"15272","Nfu_g_1_015273","SLC1A8B","slc1a8b"
"15273","Nfu_g_1_015274","SOUL3","soul3"
"15274","Nfu_g_1_015275","FGFRL1 (1 OF 2)","fgfrl1a"
"15275","Nfu_g_1_015276","NKX2.2A","nkx2.2a"
"15276","Nfu_g_1_015277","NRD1 (1 OF 2)","NRD1 (1 of 2)"
"15277","Nfu_g_1_015278","CD93","CD93"
"15278","Nfu_g_1_015279","",""
"15279","Nfu_g_1_015280","POLE2","pole2"
"15280","Nfu_g_1_015281","TMEM50A","tmem50a"
"15281","Nfu_g_1_015282","BUB1BB","BUB1B (1 of 2)"
"15282","Nfu_g_1_015283","PRKCHA","prkcha"
"15283","Nfu_g_1_015284","PLEKHG3 (2 OF 3)","PLEKHG3 (1 of 2)"
"15284","Nfu_g_1_015285","TFB1M","tfb1m"
"15285","Nfu_g_1_015286","STAC","STAC"
"15286","Nfu_g_1_015287","BX569781.3","BX569781.2"
"15287","Nfu_g_1_015288","ZFYVE1 (1 OF 2)","ZFYVE1"
"15288","Nfu_g_1_015289","CHAC1 (1 OF 2)","chac1"
"15289","Nfu_g_1_015290","FSIP1","fsip1"
"15290","Nfu_g_1_015291","ZNF593","znf593"
"15291","Nfu_g_1_015292","TUBA8L3","tuba8l4"
"15292","Nfu_g_1_015293","DLL4 (2 OF 2)","dll4"
"15293","Nfu_g_1_015294","HSPA4L","HSPA4L"
"15294","Nfu_g_1_015295","TMEM30B","TMEM30B"
"15295","Nfu_g_1_015296","DDHD1 (1 OF 2)","ddhd1b"
"15296","Nfu_g_1_015297","CX35.4","cx35.4"
"15297","Nfu_g_1_015298","","eif5a"
"15298","Nfu_g_1_015299","",""
"15299","Nfu_g_1_015300","PABPC4","pabpc4"
"15300","Nfu_g_1_015301","CYP1C1","cyp1c1"
"15301","Nfu_g_1_015302","CHICO","chico"
"15302","Nfu_g_1_015303","OTOMP","otomp"
"15303","Nfu_g_1_015304","CNR1 (2 OF 2)","cnr1"
"15304","Nfu_g_1_015305","KATNBL1 (2 OF 2)","C20H15orf29"
"15305","Nfu_g_1_015306","RARB",""
"15306","Nfu_g_1_015307","CYP1C2","cyp1c1"
"15307","Nfu_g_1_015308","GYG1A","gyg1a"
"15308","Nfu_g_1_015309","DLST (1 OF 2)","dlst"
"15309","Nfu_g_1_015310","","C13H1orf63"
"15310","Nfu_g_1_015311","TTBK2 (2 OF 2)","TTBK2 (1 of 2)"
"15311","Nfu_g_1_015312","RYR3 (2 OF 2)","ryr3"
"15312","Nfu_g_1_015313","ZBTB8A","ZBTB8A"
"15313","Nfu_g_1_015314","TSPEAR (2 OF 2)","TSPEAR (2 of 2)"
"15314","Nfu_g_1_015315","ELAVL1","elavl1"
"15315","Nfu_g_1_015316","LTBP2","LTBP1"
"15316","Nfu_g_1_015317","SRP14","srp14"
"15317","Nfu_g_1_015318","PTP4A2 (2 OF 2)","PTP4A2 (2 of 2)"
"15318","Nfu_g_1_015319","ACTC1A","hm:zewp0073"
"15319","Nfu_g_1_015320","TPGS1","TPGS1 (2 of 2)"
"15320","Nfu_g_1_015321","KIAA0247","si:dkey-11e23.5"
"15321","Nfu_g_1_015322","ITGB1BP1","itgb1bp1"
"15322","Nfu_g_1_015323","HS6ST1","hs6st1b"
"15323","Nfu_g_1_015324","MTHFD1A","mthfd1b"
"15324","Nfu_g_1_015325","POMT2","pomt2"
"15325","Nfu_g_1_015326","KEAP1A","keap1a"
"15326","Nfu_g_1_015327","HTRA2","HTRA2 (3 of 31)"
"15327","Nfu_g_1_015328","KLF11B","klf11a"
"15328","Nfu_g_1_015329","ZFYVE28","zfyve28"
"15329","Nfu_g_1_015330","BX936443.2","FAM161B"
"15330","Nfu_g_1_015331","ZGC:153157","zgc:153157"
"15331","Nfu_g_1_015332","NCEH1A","nceh1a"
"15332","Nfu_g_1_015333","ARHGEF10","arhgef10"
"15333","Nfu_g_1_015334","HTR1B (1 OF 2)","htr1b"
"15334","Nfu_g_1_015335","WARS","WARS"
"15335","Nfu_g_1_015336","NGB","ngb"
"15336","Nfu_g_1_015337","SIVA1","siva1"
"15337","Nfu_g_1_015338","TIAM2 (1 OF 2)","TIAM2 (1 of 2)"
"15338","Nfu_g_1_015339","CABZ01071407.1","CABZ01071407.1"
"15339","Nfu_g_1_015340","SENP2","SENP2"
"15340","Nfu_g_1_015341","","COL12A1"
"15341","Nfu_g_1_015342","VGLL2B","vgll2b"
"15342","Nfu_g_1_015343","GRIN3B","grin3b"
"15343","Nfu_g_1_015344","ZBTB42","ZBTB42"
"15344","Nfu_g_1_015345","WDR20B","WDR20 (1 of 2)"
"15345","Nfu_g_1_015346","MOK","mak"
"15346","Nfu_g_1_015347","IQCC","iqcc"
"15347","Nfu_g_1_015348","DLGAP2","DLGAP2 (3 of 3)"
"15348","Nfu_g_1_015349","RSAD2","rsad2"
"15349","Nfu_g_1_015350","BDKRB2 (2 OF 3)","BDKRB2 (1 of 2)"
"15350","Nfu_g_1_015351","C14ORF101","C17H14orf101"
"15351","Nfu_g_1_015352","SPTB","sptb"
"15352","Nfu_g_1_015353","TTLL5","TTLL5"
"15353","Nfu_g_1_015354","PLD1A","pld1a"
"15354","Nfu_g_1_015355","","sh3glb2b"
"15355","Nfu_g_1_015356","KBTBD11","KBTBD11"
"15356","Nfu_g_1_015357","PLD4","pld3"
"15357","Nfu_g_1_015358","CNKSR3","zgc:172112"
"15358","Nfu_g_1_015359","ORC3","orc3"
"15359","Nfu_g_1_015360","MNAT1","mnat1"
"15360","Nfu_g_1_015361","MAX","max"
"15361","Nfu_g_1_015362","PTTG1IPA","pttg1ipa"
"15362","Nfu_g_1_015363","CABZ01073071.1","KLHDC1"
"15363","Nfu_g_1_015364","RPL13A","rpl13a"
"15364","Nfu_g_1_015365","HSD17B8","hsd17b8"
"15365","Nfu_g_1_015366","PAX1A","pax1a"
"15366","Nfu_g_1_015367","",""
"15367","Nfu_g_1_015368","LTK","ltk"
"15368","Nfu_g_1_015369","FUT9 (1 OF 3)","FUT9 (1 of 16)"
"15369","Nfu_g_1_015370","UGGT1","uggt1"
"15370","Nfu_g_1_015371","FNDC5A","fndc5a"
"15371","Nfu_g_1_015372","CCDC94","ccdc94"
"15372","Nfu_g_1_015373","ITPKA","itpka"
"15373","Nfu_g_1_015374","IVD","ivd"
"15374","Nfu_g_1_015375","DLK1","DLK1"
"15375","Nfu_g_1_015376","","ppp1r13bb"
"15376","Nfu_g_1_015377","AKIRIN2 (2 OF 2)","akirin2"
"15377","Nfu_g_1_015378","EML5","EML5"
"15378","Nfu_g_1_015379","DEGS2","degs2"
"15379","Nfu_g_1_015380","KDM1A","kdm1a"
"15380","Nfu_g_1_015381","MLH3","mlh3"
"15381","Nfu_g_1_015382","AMIGO3","AMIGO3 (1 of 2)"
"15382","Nfu_g_1_015383","SLC2A2","slc2a2"
"15383","Nfu_g_1_015384","CU695076.1","CLDN20 (2 of 2)"
"15384","Nfu_g_1_015385","MAP1S (2 OF 2)","MAP1S (2 of 2)"
"15385","Nfu_g_1_015386","SEPN1","sepn1"
"15386","Nfu_g_1_015387","TRA2A","tra2b"
"15387","Nfu_g_1_015388","OLA.10429","CLEC6A"
"15388","Nfu_g_1_015389","MSL2 (2 OF 2)","msl2b"
"15389","Nfu_g_1_015390","CDAN1","cdan1"
"15390","Nfu_g_1_015391","CPSF3 (2 OF 2)","cpsf3"
"15391","Nfu_g_1_015392","SRRM1","srrm1"
"15392","Nfu_g_1_015393","PCMTL","pcmtl"
"15393","Nfu_g_1_015394","","im:7149628"
"15394","Nfu_g_1_015395","RLF","rlf"
"15395","Nfu_g_1_015396","","CR384061.1"
"15396","Nfu_g_1_015397","MEIS2","meis2b"
"15397","Nfu_g_1_015398","",""
"15398","Nfu_g_1_015399","DHRS7","dhrs7"
